Date,Happiness,Time asleep,Body weight,Resting Heart Rate,productive time,Calories in,calories out,fat in,carbs in,protein in,5k running finish time
2020-11-29,0,4,73,60,12,2500,3000,1200,1500,300,60
2020-11-30,1,6,74,58,11,2566,2900,1160,1450,290,58
2020-12-01,2,6,73,57,10,2466,2878,1151.2,1439,287.8,57
2020-12-02,3,7,74,56,10,2599,2896,1158.4,1448,289.6,56
2020-12-03,2,5,73,58,9,2578,2786,1114.4,1393,278.6,58
2020-12-04,3,7,74,57,8,2787,2786,835.8,1671.6,278.6,57
2020-12-05,4,7,74,56,9,2786,2787,836.1,1672.2,278.7,56
2020-12-06,5,8,75,55,8,2786,2578,773.4,1546.8,257.8,55
2020-12-07,6,8,75,55,8,2896,2599,779.7,1559.4,259.9,55
2020-12-08,7,8,75,54,8,2878,2466,1479.6,246.6,739.8,53
2020-12-09,9,8,75,53,8,2900,2500,1500,250,750,53
2020-12-10,9,8,75,54,8,3000,2500,1500,250,750,53
