,contribution,weight,value_today_not_normalized,value_today_normalized,extrema
wInCO2Median,0.274,-0.178,1519.0,-1.5368104150568556,2.3486275145357154
wOutPressMin_yesterday,0.123,0.132,1023.0,0.9342820061536835,-1.5368104150568556
VitaminD,0.116,0.049,1500.0,2.3486275145357154,
weight,0.102,0.128,74.79,0.7968976511675497,
wInNoiseMax95_yesterday,0.084,-0.091,40.0,-0.9202624688108287,
mood_yesterday,0.063,0.133,7.0,0.4753519176154505,
wInHumidityMax95,0.038,-0.253,45.0,-0.151409628447098,
Steps,0.027,0.038,22228.0,0.709628997980024,
Heart Points,-0.024,0.108,49.0,-0.22033986392298024,
Running_min,-0.021,0.037,0.0,-0.5639674656627415,
distracting_min,-0.02,-0.01,278.0,2.016,
